Keyword,Attribute,Actual Attribute,Pros,Cons
Battery,redefined,redefined,Good battery Life,Poor battery life
Battery,less,less,Good battery Life,Poor battery life
Battery,less,less,Good battery Life,Poor battery life
Battery,not,not,Good battery Life,Poor battery life
Battery,not,not,Good battery Life,Poor battery life
Battery,low,low,Good battery Life,Poor battery life
Battery,poor,poor,Good battery Life,Poor battery life
Battery,Poor,Poor,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,gud,gud,Good battery Life,Poor battery life
Battery,decent,decent,Good battery Life,Poor battery life
Battery,durable,durable,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,strong,strong,Good battery Life,Poor battery life
Battery,Perfect,Perfect,Good battery Life,Poor battery life
Battery,Draining,Draining,No battery draining problem,Battery drains heavily
Battery,faster,faster,Good battery Life,Poor battery life
Battery,only,only,Good battery Life,Poor battery life
Battery,awesome,awesome,Good battery Life,Poor battery life
Battery,Stamina ,Stamina ,Good battery Life,Poor battery life
Battery,awesome,awesome,Good battery Life,Poor battery life
Battery,strong,strong,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,Drains,Drains,No battery draining problem,Battery drains heavily
Battery,fast,fast,Good battery Life,Poor battery life
Battery,better,better,Good battery Life,Poor battery life
Battery,full,full,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,Stamina ,Stamina ,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,okay,okay,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,plus,plus,Good battery Life,Poor battery life
Battery,Stamina ,Stamina ,Good battery Life,Poor battery life
Battery,Stamina ,Stamina ,Good battery Life,Poor battery life
Battery,Draining,Draining,No battery draining problem,Battery drains heavily
Battery,fast,fast,Good battery Life,Poor battery life
Battery,Stamina Mode,Stamina Mode,Good battery Life,Poor battery life
Battery,fast,fast,Good battery Life,Poor battery life
Battery,alright,alright,Good battery Life,Poor battery life
Battery,day,day,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,considerable,considerable,Good battery Life,Poor battery life
Battery,poor,poor,Good battery Life,Poor battery life
Battery,not,not,Good battery Life,Poor battery life
Battery,little,little,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,decent,decent,Good battery Life,Poor battery life
Battery,average,average,Good battery Life,Poor battery life
Battery,poor,poor,Good battery Life,Poor battery life
Battery,Heated,Heated,No heating issues,Battery gets overheated
Battery,good,good,Good battery Life,Poor battery life
Battery,appreciable,appreciable,Good battery Life,Poor battery life
Battery,excellent,excellent,Good battery Life,Poor battery life
Battery,great,great,Good battery Life,Poor battery life
Battery,not,not,Good battery Life,Poor battery life
Battery,fine,fine,Good battery Life,Poor battery life
Battery,best,best,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,3000,3000,Good battery Life,Poor battery life
Battery,ok,ok,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,great,great,Good battery Life,Poor battery life
Battery,poor,poor,Good battery Life,Poor battery life
Battery,Inbuilt,Inbuilt,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,only,only,Good battery Life,Poor battery life
Battery,quickly,quickly,Good battery Life,Poor battery life
Battery,easily,easily,Good battery Life,Poor battery life
Battery,excellent,excellent,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,poor,poor,Good battery Life,Poor battery life
Battery,great,great,Good battery Life,Poor battery life
Battery,disadvantage,disadvantage,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,atleast,atleast,Good battery Life,Poor battery life
Battery,30-40,30-40,Good battery Life,Poor battery life
Battery,3,3,Good battery Life,Poor battery life
Battery,not,not,Good battery Life,Poor battery life
Battery,less,less,Good battery Life,Poor battery life
Battery,heated,heated,No heating issues,Battery gets overheated
Battery,nice,nice,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,issue,issue,Good battery Life,Poor battery life
Battery,poor,poor,Good battery Life,Poor battery life
Battery,poor,poor,Good battery Life,Poor battery life
Battery,Amazing,Amazing,Good battery Life,Poor battery life
Battery,optimized,optimized,Good battery Life,Poor battery life
Battery,less,less,Good battery Life,Poor battery life
Battery,poor,poor,Good battery Life,Poor battery life
Battery,great,great,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,amazing,amazing,Good battery Life,Poor battery life
Battery,low,low,Good battery Life,Poor battery life
Battery,sufficient,sufficient,Good battery Life,Poor battery life
Battery,weak,weak,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,above,above,Good battery Life,Poor battery life
Battery,poor,poor,Good battery Life,Poor battery life
Battery,decent,decent,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,not,not,Good battery Life,Poor battery life
Battery,sustains,sustains,Good battery Life,Poor battery life
Battery,heats,heats,No heating issues,Battery gets overheated
Battery,not,not,Good battery Life,Poor battery life
Battery,poor,poor,Good battery Life,Poor battery life
Battery,few,few,Good battery Life,Poor battery life
Battery,great,great,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,not,not,Good battery Life,Poor battery life
Battery,dried,dried,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,better,better,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,issue,issue,Good battery Life,Poor battery life
Battery,less,less,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,longer,longer,Good battery Life,Poor battery life
Battery,only,only,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,day,day,Good battery Life,Poor battery life
Battery,not,not,Good battery Life,Poor battery life
Battery,Doctor app,Doctor app,Good battery Life,Poor battery life
Battery,day,day,Good battery Life,Poor battery life
Battery,great,great,Good battery Life,Poor battery life
Battery,not,not,Good battery Life,Poor battery life
Battery,drained,drained,No battery draining problem,Battery drains heavily
Battery,excellent8,excellent8,Good battery Life,Poor battery life
Battery,guzzler,guzzler,Good battery Life,Poor battery life
Battery,didnt,didnt,Good battery Life,Poor battery life
Battery, Customization, Customization,Good battery Life,Poor battery life
Battery,not,not,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,drained,drained,No battery draining problem,Battery drains heavily
Battery,not,not,Good battery Life,Poor battery life
Battery,down,down,Good battery Life,Poor battery life
Battery,dries,dries,Good battery Life,Poor battery life
Battery,no,no,Good battery Life,Poor battery life
Battery,drains,drains,No battery draining problem,Battery drains heavily
Battery,fall,fall,Good battery Life,Poor battery life
Battery,amazing,amazing,Good battery Life,Poor battery life
Battery,superb,superb,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,excellent,excellent,Good battery Life,Poor battery life
Battery,awesome,awesome,Good battery Life,Poor battery life
Battery,enormous,enormous,Good battery Life,Poor battery life
Battery,not,not,Good battery Life,Poor battery life
Battery,superb,superb,Good battery Life,Poor battery life
Battery,solid,solid,Good battery Life,Poor battery life
Battery,worst,worst,Good battery Life,Poor battery life
Battery,steady,steady,Good battery Life,Poor battery life
Battery,gud,gud,Good battery Life,Poor battery life
Battery,fine,fine,Good battery Life,Poor battery life
Battery,acha,acha,Good battery Life,Poor battery life
Battery,two,two,Good battery Life,Poor battery life
Battery,2,2,Good battery Life,Poor battery life
Battery,complete,complete,Good battery Life,Poor battery life
Battery,48,48,Good battery Life,Poor battery life
Battery,less,less,Good battery Life,Poor battery life
Battery,lowOne,lowOne,Good battery Life,Poor battery life
Battery,goodit,goodit,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,stunning,stunning,Good battery Life,Poor battery life
battery,lasts,lasts,Good battery Life,Poor battery life
battery,lasts,lasts,Good battery Life,Poor battery life
battery,long,long,Good battery Life,Poor battery life
battery,long,long,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,reduce,reduce,Good battery Life,Poor battery life
battery,awesome,awesome,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,offers,offers,Good battery Life,Poor battery life
battery,poor,poor,Good battery Life,Poor battery life
battery,not,not,Good battery Life,Poor battery life
battery,backup,backup,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,backup,backup,Good battery Life,Poor battery life
battery,hurdle,hurdle,Good battery Life,Poor battery life
battery,last,last,Good battery Life,Poor battery life
battery,fast,fast,Good battery Life,Poor battery life
battery,discharges,discharges,No battery draining problem,Battery drains heavily
battery,average,average,Good battery Life,Poor battery life
battery,heated,heated,No heating issues,Battery gets overheated
battery,fast,fast,Good battery Life,Poor battery life
battery,not,not,Good battery Life,Poor battery life
battery,miserable,miserable,Good battery Life,Poor battery life
battery,not,not,Good battery Life,Poor battery life
battery,quickly,quickly,Good battery Life,Poor battery life
battery,drains,drains,No battery draining problem,Battery drains heavily
battery,ok,ok,Good battery Life,Poor battery life
battery,last,last,Good battery Life,Poor battery life
battery,amazing,amazing,Good battery Life,Poor battery life
battery,less,less,Good battery Life,Poor battery life
battery,not,not,Good battery Life,Poor battery life
battery,quickly,quickly,Good battery Life,Poor battery life
battery,drains,drains,No battery draining problem,Battery drains heavily
